,p1,p2,p3,p4
5500,"['OAK-MOR-659.fq.barcodeStripped', 'OAK-MOR-662.fq.barcodeStripped', 'OAK-MOR-1055', 'OAK-MOR-735.fq.barcodeStripped', 'OAK-MOR-599.fq.barcodeStripped']","['OAK-MOR-588.fq.barcodeStripped', 'OAK-MOR-1144']",['OAK-MOR-589.fq.barcodeStripped'],['DM56']
2680,"['OAK-MOR-1061', 'OAK-MOR-1060']",['OAK-MOR-1144'],"['OAK-MOR-980', 'OAK-MOR-1146']",['DM5']
5601,['OAK-MOR-593.fq.barcodeStripped'],['OAK-MOR-588.fq.barcodeStripped'],['OAK-MOR-589.fq.barcodeStripped'],['DM56']
5693,['OAK-MOR-983'],['OAK-MOR-985'],"['OAK-MOR-980', 'OAK-MOR-1146']",['DM56']
1443,['OAK-MOR-986'],"['OAK-MOR-985', 'OAK-MOR-588.fq.barcodeStripped', 'OAK-MOR-1144']",['OAK-MOR-589.fq.barcodeStripped'],['DM18']
5660,['OAK-MOR-983'],"['OAK-MOR-985', 'OAK-MOR-588.fq.barcodeStripped', 'OAK-MOR-1144']","['OAK-MOR-980', 'OAK-MOR-1146']",['DM56']
5686,"['OAK-MOR-983', 'OAK-MOR-191']",['OAK-MOR-985'],"['OAK-MOR-980', 'OAK-MOR-1146']",['DM56']
1110,"['OAK-MOR-983', 'OAK-MOR-191']",['OAK-MOR-985'],"['OAK-MOR-589.fq.barcodeStripped', 'OAK-MOR-980', 'OAK-MOR-1146']",['DM18']
3513,"['OAK-MOR-729.fq.barcodeStripped', 'OAK-MOR-728.fq.barcodeStripped']",['OAK-MOR-1144'],['OAK-MOR-589.fq.barcodeStripped'],"['DM20', 'DM56']"
3374,['OAK-MOR-1040'],"['OAK-MOR-985', 'OAK-MOR-588.fq.barcodeStripped', 'OAK-MOR-1144']",['OAK-MOR-589.fq.barcodeStripped'],"['DM20', 'DM56']"
2882,['OAK-MOR-1040'],['OAK-MOR-1144'],['OAK-MOR-980'],['DM5']
2623,"['OAK-MOR-659.fq.barcodeStripped', 'OAK-MOR-662.fq.barcodeStripped']",['OAK-MOR-588.fq.barcodeStripped'],"['OAK-MOR-980', 'OAK-MOR-1146']",['DM5']
151,"['OAK-MOR-1061', 'OAK-MOR-1060']",['OAK-MOR-588.fq.barcodeStripped'],"['OAK-MOR-589.fq.barcodeStripped', 'OAK-MOR-980', 'OAK-MOR-1146']","['DM18', 'DM5']"
4343,['OAK-MOR-736.fq.barcodeStripped'],['OAK-MOR-1144'],"['OAK-MOR-589.fq.barcodeStripped', 'OAK-MOR-980', 'OAK-MOR-1146']",['DM20']
3152,['OAK-MOR-659.fq.barcodeStripped'],"['OAK-MOR-985', 'OAK-MOR-588.fq.barcodeStripped', 'OAK-MOR-1144']","['OAK-MOR-589.fq.barcodeStripped', 'OAK-MOR-980', 'OAK-MOR-1146']","['DM20', 'DM56']"
5595,['OAK-MOR-1060'],['OAK-MOR-1144'],['OAK-MOR-589.fq.barcodeStripped'],['DM56']
3271,"['OAK-MOR-1061', 'OAK-MOR-1060']",['OAK-MOR-588.fq.barcodeStripped'],"['OAK-MOR-589.fq.barcodeStripped', 'OAK-MOR-980', 'OAK-MOR-1146']","['DM20', 'DM56']"
840,['OAK-MOR-578.fq.barcodeStripped'],['OAK-MOR-985'],['OAK-MOR-1146'],"['DM18', 'DM5']"
5311,['OAK-MOR-191'],"['OAK-MOR-588.fq.barcodeStripped', 'OAK-MOR-1144']","['OAK-MOR-589.fq.barcodeStripped', 'OAK-MOR-980', 'OAK-MOR-1146']",['DM56']
3703,"['OAK-MOR-735.fq.barcodeStripped', 'OAK-MOR-599.fq.barcodeStripped']",['OAK-MOR-1144'],"['OAK-MOR-980', 'OAK-MOR-1146']","['DM20', 'DM56']"
6006,['OAK-MOR-591.fq.barcodeStripped'],['OAK-MOR-1144'],['OAK-MOR-980'],['DM56']
235,"['OAKS-MOR-585', 'OAK-MOR-628.fq.barcodeStripped', 'OAK-MOR-983', 'OAK-MOR-191', 'OAK-MOR-1040', 'OAK-MOR-591.fq.barcodeStripped', 'OAK-MOR-736.fq.barcodeStripped', 'OAK-MOR-727.fq.barcodeStripped', 'OAK-MOR-1061', 'OAK-MOR-1060', 'OAK-MOR-729.fq.barcodeStripped', 'OAK-MOR-728.fq.barcodeStripped']","['OAK-MOR-985', 'OAK-MOR-588.fq.barcodeStripped', 'OAK-MOR-1144']",['OAK-MOR-589.fq.barcodeStripped'],"['DM18', 'DM5']"
3492,['OAK-MOR-659.fq.barcodeStripped'],['OAK-MOR-1144'],['OAK-MOR-589.fq.barcodeStripped'],"['DM20', 'DM56']"
