,p1,p2,p3,p4
4965,"['OAK-MOR-1061', 'OAK-MOR-1060', 'OAK-MOR-729.fq.barcodeStripped', 'OAK-MOR-728.fq.barcodeStripped']",['OAK-MOR-1144'],['OAK-MOR-980'],['DM20']
1962,['OAK-MOR-728.fq.barcodeStripped'],['OAK-MOR-985'],['OAK-MOR-1146'],['DM18']
3763,['OAK-MOR-981'],['OAK-MOR-588.fq.barcodeStripped'],['OAK-MOR-980'],"['DM20', 'DM56']"
3842,['OAK-MOR-659.fq.barcodeStripped'],"['OAK-MOR-588.fq.barcodeStripped', 'OAK-MOR-1144']",['OAK-MOR-980'],"['DM20', 'DM56']"
4914,"['OAK-MOR-1040', 'OAK-MOR-591.fq.barcodeStripped', 'OAK-MOR-736.fq.barcodeStripped', 'OAK-MOR-727.fq.barcodeStripped', 'OAK-MOR-1061', 'OAK-MOR-1060', 'OAK-MOR-729.fq.barcodeStripped', 'OAK-MOR-728.fq.barcodeStripped']",['OAK-MOR-588.fq.barcodeStripped'],['OAK-MOR-980'],['DM20']
3184,"['OAK-MOR-1040', 'OAK-MOR-591.fq.barcodeStripped', 'OAK-MOR-736.fq.barcodeStripped', 'OAK-MOR-727.fq.barcodeStripped', 'OAK-MOR-1061', 'OAK-MOR-1060', 'OAK-MOR-729.fq.barcodeStripped', 'OAK-MOR-728.fq.barcodeStripped']",['OAK-MOR-985'],"['OAK-MOR-589.fq.barcodeStripped', 'OAK-MOR-980', 'OAK-MOR-1146']","['DM20', 'DM56']"
2028,['OAK-MOR-728.fq.barcodeStripped'],['OAK-MOR-588.fq.barcodeStripped'],['OAK-MOR-1146'],['DM18']
3776,['OAK-MOR-659.fq.barcodeStripped'],"['OAK-MOR-985', 'OAK-MOR-588.fq.barcodeStripped', 'OAK-MOR-1144']",['OAK-MOR-980'],"['DM20', 'DM56']"
191,['OAK-MOR-593.fq.barcodeStripped'],['OAK-MOR-985'],"['OAK-MOR-589.fq.barcodeStripped', 'OAK-MOR-980', 'OAK-MOR-1146']","['DM18', 'DM5']"
3792,['OAK-MOR-727.fq.barcodeStripped'],"['OAK-MOR-985', 'OAK-MOR-588.fq.barcodeStripped', 'OAK-MOR-1144']",['OAK-MOR-980'],"['DM20', 'DM56']"
4631,['OAK-MOR-1060'],"['OAK-MOR-985', 'OAK-MOR-588.fq.barcodeStripped', 'OAK-MOR-1144']","['OAK-MOR-980', 'OAK-MOR-1146']",['DM20']
3823,['OAK-MOR-1040'],['OAK-MOR-985'],['OAK-MOR-980'],"['DM20', 'DM56']"
5288,['OAK-MOR-1060'],['OAK-MOR-985'],"['OAK-MOR-589.fq.barcodeStripped', 'OAK-MOR-980', 'OAK-MOR-1146']",['DM56']
5704,['OAK-MOR-1060'],['OAK-MOR-985'],"['OAK-MOR-980', 'OAK-MOR-1146']",['DM56']
6223,['OAK-MOR-593.fq.barcodeStripped'],['OAK-MOR-985'],['OAK-MOR-1146'],['DM56']
9,['OAK-MOR-981'],['OAK-MOR-985'],"['OAK-MOR-589.fq.barcodeStripped', 'OAK-MOR-980', 'OAK-MOR-1146']","['DM18', 'DM5']"
3418,['OAK-MOR-728.fq.barcodeStripped'],['OAK-MOR-985'],['OAK-MOR-589.fq.barcodeStripped'],"['DM20', 'DM56']"
5988,['OAK-MOR-659.fq.barcodeStripped'],['OAK-MOR-1144'],['OAK-MOR-980'],['DM56']
1019,['OAK-MOR-1060'],['OAK-MOR-1144'],['OAK-MOR-1146'],"['DM18', 'DM5']"
5705,['OAK-MOR-729.fq.barcodeStripped'],['OAK-MOR-985'],"['OAK-MOR-980', 'OAK-MOR-1146']",['DM56']
5107,"['OAK-MOR-1061', 'OAK-MOR-1060', 'OAK-MOR-729.fq.barcodeStripped', 'OAK-MOR-728.fq.barcodeStripped']","['OAK-MOR-588.fq.barcodeStripped', 'OAK-MOR-1144']",['OAK-MOR-1146'],['DM20']
4877,"['OAKS-MOR-585', 'OAK-MOR-628.fq.barcodeStripped', 'OAK-MOR-983', 'OAK-MOR-191', 'OAK-MOR-1040', 'OAK-MOR-591.fq.barcodeStripped', 'OAK-MOR-736.fq.barcodeStripped', 'OAK-MOR-727.fq.barcodeStripped', 'OAK-MOR-1061', 'OAK-MOR-1060', 'OAK-MOR-729.fq.barcodeStripped', 'OAK-MOR-728.fq.barcodeStripped']","['OAK-MOR-588.fq.barcodeStripped', 'OAK-MOR-1144']",['OAK-MOR-980'],['DM20']
2727,['OAK-MOR-578.fq.barcodeStripped'],['OAK-MOR-1144'],['OAK-MOR-980'],['DM5']
4664,['OAK-MOR-1060'],['OAK-MOR-985'],"['OAK-MOR-980', 'OAK-MOR-1146']",['DM20']
1688,['OAK-MOR-981'],['OAK-MOR-1144'],['OAK-MOR-980'],['DM18']
4673,"['OAK-MOR-1040', 'OAK-MOR-591.fq.barcodeStripped', 'OAK-MOR-736.fq.barcodeStripped', 'OAK-MOR-727.fq.barcodeStripped', 'OAK-MOR-1061', 'OAK-MOR-1060', 'OAK-MOR-729.fq.barcodeStripped', 'OAK-MOR-728.fq.barcodeStripped']","['OAK-MOR-588.fq.barcodeStripped', 'OAK-MOR-1144']","['OAK-MOR-980', 'OAK-MOR-1146']",['DM20']
3862,"['OAK-MOR-1061', 'OAK-MOR-1060']","['OAK-MOR-588.fq.barcodeStripped', 'OAK-MOR-1144']",['OAK-MOR-980'],"['DM20', 'DM56']"
5828,['OAK-MOR-981'],"['OAK-MOR-985', 'OAK-MOR-588.fq.barcodeStripped', 'OAK-MOR-1144']",['OAK-MOR-980'],['DM56']
3859,"['OAK-MOR-1061', 'OAK-MOR-1060', 'OAK-MOR-729.fq.barcodeStripped', 'OAK-MOR-728.fq.barcodeStripped']","['OAK-MOR-588.fq.barcodeStripped', 'OAK-MOR-1144']",['OAK-MOR-980'],"['DM20', 'DM56']"
4595,['OAK-MOR-981'],['OAK-MOR-588.fq.barcodeStripped'],"['OAK-MOR-980', 'OAK-MOR-1146']",['DM20']
5031,"['OAK-MOR-727.fq.barcodeStripped', 'OAK-MOR-1061', 'OAK-MOR-1060', 'OAK-MOR-729.fq.barcodeStripped', 'OAK-MOR-728.fq.barcodeStripped']","['OAK-MOR-985', 'OAK-MOR-588.fq.barcodeStripped', 'OAK-MOR-1144']",['OAK-MOR-1146'],['DM20']
3915,"['OAK-MOR-727.fq.barcodeStripped', 'OAK-MOR-1061', 'OAK-MOR-1060', 'OAK-MOR-729.fq.barcodeStripped', 'OAK-MOR-728.fq.barcodeStripped']",['OAK-MOR-1144'],['OAK-MOR-980'],"['DM20', 'DM56']"
1435,['OAK-MOR-1060'],['OAK-MOR-1144'],['OAK-MOR-589.fq.barcodeStripped'],['DM18']
3688,"['OAK-MOR-729.fq.barcodeStripped', 'OAK-MOR-728.fq.barcodeStripped']",['OAK-MOR-588.fq.barcodeStripped'],"['OAK-MOR-980', 'OAK-MOR-1146']","['DM20', 'DM56']"
4836,"['OAK-MOR-1061', 'OAK-MOR-1060']","['OAK-MOR-985', 'OAK-MOR-588.fq.barcodeStripped', 'OAK-MOR-1144']",['OAK-MOR-980'],['DM20']
5498,['OAK-MOR-728.fq.barcodeStripped'],['OAK-MOR-985'],['OAK-MOR-589.fq.barcodeStripped'],['DM56']
4811,"['OAKS-MOR-585', 'OAK-MOR-628.fq.barcodeStripped', 'OAK-MOR-983', 'OAK-MOR-191', 'OAK-MOR-1040', 'OAK-MOR-591.fq.barcodeStripped', 'OAK-MOR-736.fq.barcodeStripped', 'OAK-MOR-727.fq.barcodeStripped', 'OAK-MOR-1061', 'OAK-MOR-1060', 'OAK-MOR-729.fq.barcodeStripped', 'OAK-MOR-728.fq.barcodeStripped']","['OAK-MOR-985', 'OAK-MOR-588.fq.barcodeStripped', 'OAK-MOR-1144']",['OAK-MOR-980'],['DM20']
3866,['OAK-MOR-729.fq.barcodeStripped'],"['OAK-MOR-588.fq.barcodeStripped', 'OAK-MOR-1144']",['OAK-MOR-980'],"['DM20', 'DM56']"
4104,"['OAK-MOR-729.fq.barcodeStripped', 'OAK-MOR-728.fq.barcodeStripped']",['OAK-MOR-588.fq.barcodeStripped'],['OAK-MOR-1146'],"['DM20', 'DM56']"
5144,"['OAK-MOR-729.fq.barcodeStripped', 'OAK-MOR-728.fq.barcodeStripped']",['OAK-MOR-588.fq.barcodeStripped'],['OAK-MOR-1146'],['DM20']
3849,"['OAK-MOR-727.fq.barcodeStripped', 'OAK-MOR-1061', 'OAK-MOR-1060', 'OAK-MOR-729.fq.barcodeStripped', 'OAK-MOR-728.fq.barcodeStripped']","['OAK-MOR-588.fq.barcodeStripped', 'OAK-MOR-1144']",['OAK-MOR-980'],"['DM20', 'DM56']"
2931,['OAK-MOR-981'],['OAK-MOR-588.fq.barcodeStripped'],['OAK-MOR-1146'],['DM5']
6015,['OAK-MOR-593.fq.barcodeStripped'],['OAK-MOR-985'],['OAK-MOR-980'],['DM56']
5059,['OAK-MOR-1055'],['OAK-MOR-985'],['OAK-MOR-1146'],['DM20']
1892,"['OAK-MOR-982', 'OAK-MOR-578.fq.barcodeStripped', 'OAK-MOR-981']",['OAK-MOR-1144'],['OAK-MOR-1146'],['DM18']
5701,"['OAK-MOR-1061', 'OAK-MOR-1060']",['OAK-MOR-985'],"['OAK-MOR-980', 'OAK-MOR-1146']",['DM56']
5114,['OAK-MOR-729.fq.barcodeStripped'],"['OAK-MOR-588.fq.barcodeStripped', 'OAK-MOR-1144']",['OAK-MOR-1146'],['DM20']
4643,['OAK-MOR-1055'],['OAK-MOR-985'],"['OAK-MOR-980', 'OAK-MOR-1146']",['DM20']
